color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,Martin Scorsese,240,116866727.0,biography|comedy|crime|drama,the wolf of wall street,2013,English,USA,100000000.0,8.2,"Leonardo DiCaprio,Matthew McConaughey,Jon Favreau",138000
color,Shane Black,195,408992272.0,action|adventure|sci-fi,iron man 3,2013,English,USA,200000000.0,7.2,"Robert Downey Jr.,Jon Favreau,Don Cheadle",95000
color,Quentin Tarantino,187,54116191.0,crime|drama|mystery|thriller|western,the hateful eight,2015,English,USA,44000000.0,7.9,"Craig Stark,Jennifer Jason Leigh,Zoë Bell",114000
color,Kenneth Lonergan,186,46495.0,drama,margaret,2011,English,usa,14000000.0,6.5,"Matt Damon,Kieran Culkin,John Gallagher Jr.",0
color,Peter Jackson,186,258355354.0,adventure|fantasy,the hobbit: the desolation of smaug,2013,English,USA,225000000.0,7.9,"Aidan Turner,Adam Brown,James Nesbitt",83000
color,Peter Jackson,-50,303001229.0,adventure|fantasy,the hobbit: an unexpected journey,2012,English,USA,180000000.0,7.9,"Aidan Turner,Adam Brown,James Nesbitt",166000
color,Joss Whedon,173,623279547.0,action|adventure|sci-fi,the avengers,2012,English,USA,220000000.0,8.1,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123000
color,Joss Whedon,173,623279547.0,action|adventure|sci-fi,the avengers,2012,English,USA,220000000.0,8.1,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123000
color,Null,158,102515793.0,crime|drama|mystery|thriller,the girl with the dragon tattoo,2011,English,USA,90000000.0,7.8,"Robin Wright,Goran Visnjic,Joely Richardson",54000
color,Christopher Nolan,169,187991439.0,adventure|drama|sci-fi,interstellar,2014,English,USA,165000000.0,8.6,"Matthew McConaughey,Anne Hathaway,Mackenzie Foy",349000
color,F. Gary Gray,167,161029270.0,biography|crime|drama|history|music,straight outta compton,2015,English,USA,28000000.0,7.9,"Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor",76000
color,Quentin Tarantino,580,162804648.0,drama|western,django unchained,2012,English,USA,100000000.0,8.5,"Leonardo DiCaprio,Christoph Waltz,Ato Essandoh",199000
color,Michael Bay,165,245428137.0,action|adventure|sci-fi,transformers: age of extinction,2014,English,USA,210000000.0,5.7,"Bingbing Li,Sophia Myles,Kelsey Grammer",56000
color,Peter Jackson,164,255108370.0,adventure|fantasy,the hobbit: the battle of the five armies,2014,English,New Zealand,250000000.0,7.5,"Aidan Turner,Adam Brown,James Nesbitt",65000
color,Tom Hooper,158,148775460.0,drama|musical|romance,les misérables,2012,English,USA,61000000.0,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
color,Tom Hooper,158,148775460.0,drama|musical|romance,les misérables,2012,English,USA,61000000.0,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
color,Kathryn Bigelow,157,95720716.0,drama|history|thriller,zero dark thirty,2012,English,USA,40000000.0,7.4,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",39000
color,Ridley Scott,156,105219735.0,action|adventure|drama|history,robin hood,2010,English,USA,200000000.0,6.7,"Mark Addy,William Hurt,Scott Grimes",17000
color,Michael Bay,154,352358779.0,action|adventure|sci-fi,transformers: dark of the moon,2011,English,USA,195000000.0,6.3,"Glenn Morshower,Lester Speight,Kevin Dunn",46000
